Counter,Season,Game_ID,PLAYER_NAME,Team,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
1259257,1997,0029601110,Aaron Williams,VAN,"APR 10, 1997",VAN @ HOU,L,16,5,8,0.625,0,0,0.0,2,2,1.0,4,2,6.0,2,1,0,2,4,12,10.0,0
1259284,1997,0029600660,Aaron Williams,VAN,"FEB 04, 1997",VAN @ NJN,L,8,0,1,0.0,0,0,0.0,5,6,0.833,2,3,5.0,0,0,0,0,1,5,0.0,0
1259259,1997,0029601086,Aaron Williams,VAN,"APR 06, 1997",VAN vs. HOU,L,17,1,5,0.2,0,0,0.0,0,0,0.0,1,2,3.0,0,2,1,1,2,2,-14.0,0
1259260,1997,0029601069,Aaron Williams,VAN,"APR 04, 1997",VAN @ UTA,L,30,6,9,0.667,0,0,0.0,0,0,0.0,4,4,8.0,0,0,0,3,1,12,-10.0,0
1259261,1997,0029601047,Aaron Williams,VAN,"APR 01, 1997",VAN vs. MIL,L,20,5,9,0.556,0,0,0.0,0,1,0.0,3,1,4.0,0,1,2,2,6,10,-9.0,0
1259262,1997,0029601023,Aaron Williams,VAN,"MAR 28, 1997",VAN @ POR,L,26,4,6,0.667,0,0,0.0,5,5,1.0,1,8,9.0,3,1,2,1,0,13,-18.0,0
1259263,1997,0029601014,Aaron Williams,VAN,"MAR 27, 1997",VAN vs. LAL,L,26,7,11,0.636,0,1,0.0,2,4,0.5,3,2,5.0,1,1,0,0,2,16,-4.0,0
1259264,1997,0029600999,Aaron Williams,VAN,"MAR 25, 1997",VAN @ LAC,L,29,3,5,0.6,0,0,0.0,0,0,0.0,1,3,4.0,0,0,0,1,5,6,-2.0,0
1259265,1997,0029600990,Aaron Williams,VAN,"MAR 23, 1997",VAN vs. SEA,L,19,4,6,0.667,0,0,0.0,4,5,0.8,4,3,7.0,0,0,1,0,1,12,3.0,0
1259266,1997,0029600974,Aaron Williams,VAN,"MAR 21, 1997",VAN vs. DEN,W,23,6,7,0.857,0,0,0.0,2,2,1.0,4,2,6.0,1,1,0,1,3,14,5.0,0
1259267,1997,0029600958,Aaron Williams,VAN,"MAR 19, 1997",VAN @ MIN,L,30,2,6,0.333,0,0,0.0,3,4,0.75,2,2,4.0,1,0,0,4,2,7,-14.0,0
1259268,1997,0029600944,Aaron Williams,VAN,"MAR 18, 1997",VAN @ NYK,L,23,3,8,0.375,0,0,0.0,1,2,0.5,4,5,9.0,1,0,2,2,5,7,-16.0,0
1259269,1997,0029600929,Aaron Williams,VAN,"MAR 16, 1997",VAN @ ORL,L,22,2,5,0.4,0,0,0.0,2,3,0.667,3,3,6.0,1,1,0,3,1,6,-12.0,0
1259271,1997,0029600902,Aaron Williams,VAN,"MAR 12, 1997",VAN @ WAS,L,22,3,6,0.5,0,0,0.0,0,0,0.0,2,3,5.0,0,1,0,0,3,6,-15.0,0
1259230,1997,0029700360,Aaron Williams,SEA,"DEC 20, 1997",SEA vs. GSW,W,23,4,6,0.667,0,0,0.0,3,4,0.75,0,3,3.0,0,1,3,2,3,11,4.0,0
1259231,1997,0029700340,Aaron Williams,SEA,"DEC 18, 1997",SEA vs. DEN,W,18,2,5,0.4,0,0,0.0,2,2,1.0,3,3,6.0,1,1,0,1,5,6,-2.0,0
1259232,1997,0029700325,Aaron Williams,SEA,"DEC 16, 1997",SEA @ LAC,W,9,2,2,1.0,0,0,0.0,0,0,0.0,0,3,3.0,0,1,1,3,5,4,0.0,0
1259233,1997,0029700312,Aaron Williams,SEA,"DEC 14, 1997",SEA vs. LAC,W,7,0,2,0.0,0,0,0.0,0,0,0.0,1,2,3.0,0,0,0,0,0,0,1.0,0
